TestName,StartTime,TimeStamp,ActionDesc,ActionDuration,
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:35,012 Clear filters,828,PriceExplorer
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:35,013 Logout ,1406,Login
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:35,001 Open login page,203,Other
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:35,002 Login as 'regadminNL2',1438,Login
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:35,003 Navigate in main menu to 'Track and Analyze',7578,FolderNavigation
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:35,004 Navigate in folders to 'Price Explorer',4016,FolderNavigation
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,005 Set field 'Target Unit' to value 'Package',266,Client
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,006 Apply changes,1797,PriceExplorer
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,007 Set field 'Target Unit' to value 'Piece',219,Client
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,008 Set field 'Y Axis' to value 'Percent',281,Client
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,009 Apply changes,1875,PriceExplorer
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,010 Select graph type 'Scatter',2500,PriceExplorer
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:36,011 Filter by time,3875,PriceExplorer
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:37,012 Clear filters,1391,PriceExplorer
A - Price Explorer,12/15/2010 17:35,12/15/2010 17:37,013 Logout ,1234,Login
A - Price Explorer,12/15/2010 17:37,12/15/2010 17:37,001 Open login page,203,Other
A - Price Explorer,12/15/2010 17:37,12/15/2010 17:37,002 Login as 'regadminNL2',1469,Login
A - Price Explorer,12/15/2010 17:37,12/15/2010 17:37,003 Navigate in main menu to 'Track and Analyze',7531,FolderNavigation
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,001 Open login page,328,Other
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,002 Login as 'regadminNL2',1594,Login
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,003 Navigate in main menu to 'Track and Analyze',8422,FolderNavigation
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,004 Navigate in folders to 'Price Explorer',3031,FolderNavigation
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,005 Set field 'Target Unit' to value 'Package',375,Client
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,006 Apply changes,1656,PriceExplorer
