TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:57:35,"003 Navigate in main menu to 'Manage Prices'",1656,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:57:37,"004 Navigate in folders to 'L1 Price Setting'",1578,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:57:53,"005 Open Worksheet 'L1 Prices'",672,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:58:01,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",500,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:58:08,"007 Set Filter 'PCK','60mm Busbar system'",484,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:58:17,"008 Navigate in main menu to 'Manage Prices'",1766,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:58:19,"009 Navigate in folders to 'L2 Price Setting'",1563,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:58:35,"010 Open Worksheet 'L2 Price'",609,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:58:43,"011 Logout ",609,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:58:43,"001 Open login page",203,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:58:45,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2172,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:58:47,"003 Navigate in main menu to 'Manage Prices'",1547,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:58:49,"004 Navigate in folders to 'L1 Price Setting'",1766,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:05,"005 Open Worksheet 'L1 Prices'",797,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:13,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",484,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:21,"007 Set Filter 'PCK','60mm Busbar system'",422,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:30,"008 Navigate in main menu to 'Manage Prices'",1969,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:32,"009 Navigate in folders to 'L2 Price Setting'",1844,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:48,"010 Open Worksheet 'L2 Price'",625,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:58:43,2011/04/15 06:59:56,"011 Logout ",688,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 06:59:56,"001 Open login page",250,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 06:59:58,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2188,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:00,"003 Navigate in main menu to 'Manage Prices'",1813,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:02,"004 Navigate in folders to 'L1 Price Setting'",1641,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:19,"005 Open Worksheet 'L1 Prices'",953,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:26,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",422,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:34,"007 Set Filter 'PCK','60mm Busbar system'",359,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:43,"008 Navigate in main menu to 'Manage Prices'",2188,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:59:56,2011/04/15 07:00:45,"009 Navigate in folders to 'L2 Price Setting'",2234,"FolderNavigation"
